"","NOME","PARTIDO","UF"
"350","MARCIO MARINHO","PRB","BA"
"351","MARCO ANTONIO CABRAL","PMDB","RJ"
"352","MARCO MAIA","PT","RS"
"353","MARCO TEBALDI","PSDB","SC"
"354","MARCON","PT","RS"
"355","MARCONDES GADELHA","PSC","PB"
"356","MARCOS ABRAO","PPS","GO"
"357","MARCOS MONTES","PSD","MG"
"358","MARCOS REATEGUI","PSD","AP"
"359","MARCOS ROGERIO","DEM","RO"
"360","MARCOS ROTTA","PMDB","AM"
"361","MARCOS SOARES","DEM","RJ"
"362","MARCUS PESTANA","PSDB","MG"
"363","MARCUS VICENTE","PP","ES"
"364","MARGARIDA SALOMAO","PT","MG"
"365","MARIA DO ROSARIO","PT","RS"
"366","MARIA HELENA","PSB","RR"
"367","MARIANA CARVALHO","PSDB","RO"
"368","MARINALDO ROSENDO","PSB","PE"
"369","MARINHA RAUPP","PMDB","RO"
"370","MARIO HERINGER","PDT","MG"
"371","MARIO NEGROMONTE JR.","PP","BA"
"372","MARQUINHO MENDES","PMDB","RJ"
"373","MARX BELTRAO","PMDB","AL"
"374","MAURICIO QUINTELLA LESSA","PR","AL"
"375","MAURO BENEVIDES","PMDB","CE"
"376","MAURO LOPES","PMDB","MG"
"377","MAURO MARIANI","PMDB","SC"
"378","MAURO PEREIRA","PMDB","RS"
"379","MAX FILHO","PSDB","ES"
"380","MENDONÇA FILHO","DEM","PE"
"381","MERLONG SOLANO","PT","PI"
"382","MIGUEL CORREA","PT","MG"
"383","MIGUEL HADDAD","PSDB","SP"
"384","MIGUEL LOMBARDI","PR","SP"
"385","MILTON MONTI","PR","SP"
"386","MIRO TEIXEIRA","REDE","RJ"
"387","MISAEL VARELLA","DEM","MG"
"388","MISSIONARIO JOSE OLIMPIO","DEM","SP"
"389","MOEMA GRAMACHO","PT","BA"
"390","MORONI TORGAN","DEM","CE"
"391","MOSES RODRIGUES","PMDB","CE"
"392","NELSON MARCHEZAN JUNIOR","PSDB","RS"
"393","NELSON MARQUEZELLI","PTB","SP"
"394","NELSON MEURER","PP","PR"
"395","NELSON PADOVANI","PSDB","PR"
"396","NELSON PELLEGRINO","PT","BA"
"397","NEWTON CARDOSO JR","PMDB","MG"
"398","NILMARIO MIRANDA","PT","MG"
"399","NILSON LEITAO","PSDB","MT"
"400","NILSON PINTO","PSDB","PA"
"401","NILTO TATTO","PT","SP"
"402","NILTON CAPIXABA","PTB","RO"
"403","NIVALDO ALBUQUERQUE","PRP","AL"
"404","ODAIR CUNHA","PT","MG"
"405","ODELMO LEAO","PP","MG"
"406","ODORICO MONTEIRO","PROS","CE"
"407","ONYX LORENZONI","DEM","RS"
"408","ORLANDO SILVA","PCdoB","SP"
"409","OSMAR SERRAGLIO","PMDB","PR"
"410","OSMAR TERRA","PMDB","RS"
"411","OTAVIO LEITE","PSDB","RJ"
"412","PADRE JOAO","PT","MG"
"413","PAES LANDIM","PTB","PI"
"414","PASTOR EURICO","PHS","PE"
"415","PASTOR LUCIANO BRAGA","PMB","BA"
"416","PATRUS ANANIAS","PT","MG"
"417","PAUDERNEY AVELINO","DEM","AM"
"418","PAULAO","PT","AL"
"419","PAULO ABI-ACKEL","PSDB","MG"
"420","PAULO AZI","DEM","BA"
"421","PAULO FEIJO","PR","RJ"
"422","PAULO FOLETTO","PSB","ES"
"423","PAULO FREIRE","PR","SP"
"424","PAULO HENRIQUE LUSTOSA","PP","CE"
"425","PAULO MAGALHAES","PSD","BA"
"426","PAULO MALUF","PP","SP"
"427","PAULO MARTINS","PSDB","PR"
"428","PAULO PEREIRA DA SILVA","SD","SP"
"429","PAULO PIMENTA","PT","RS"
"430","PAULO TEIXEIRA","PT","SP"
"431","PDT",NA,NA
"432","PEDRO CHAVES","PMDB","GO"
"433","PEDRO CUNHA LIMA","PSDB","PB"
"434","PEDRO FERNANDES","PTB","MA"
"435","PEDRO PAULO","PMDB","RJ"
"436","PEDRO UCZAI","PT","SC"
"437","PEDRO VILELA","PSDB","AL"
"438","PEPE VARGAS","PT","RS"
"439","PHS",NA,NA
"440","POMPEO DE MATTOS","PDT","RS"
"441","PR. MARCO FELICIANO","PSC","SP"
"442","PROFESSOR SERGIO DE OLIVEIRA","PSD","PR"
"443","PROFESSOR VICTORIO GALLI","PSC","MT"
"444","PROFESSORA DORINHA SEABRA REZENDE","DEM","TO"
"445","PROFESSORA MARCIVANIA","PCdoB","AP"
"446","PROS",NA,NA
"447","RAFAEL MOTTA","PSB","RN"
"448","RAIMUNDO GOMES DE MATOS","PSDB","CE"
"449","RAQUEL MUNIZ","PSD","MG"
"450","RAUL JUNGMANN","PPS","PE"
"451","REGINALDO LOPES","PT","MG"
"452","REINHOLD STEPHANES","PSD","PR"
"453","REJANE DIAS","PT","PI"
"454","REMIDIO MONAI","PR","RR"
"455","RENATA ABREU","PTN","SP"
"456","RENATO MOLLING","PP","RS"
"457","RENZO BRAZ","PP","MG"
"458","RICARDO BARROS","PP","PR"
"459","RICARDO IZAR","PP","SP"
"460","RICARDO TEOBALDO","PTN","PE"
"461","RICARDO TRIPOLI","PSDB","SP"
"462","ROBERTO ALVES","PRB","SP"
"463","ROBERTO BALESTRA","PP","GO"
"464","ROBERTO BRITTO","PP","BA"
"465","ROBERTO DE LUCENA","PV","SP"
"466","ROBERTO FREIRE","PPS","SP"
"467","ROBERTO GOES","PDT","AP"
"468","ROBERTO SALES","PRB","RJ"
"469","ROBERTO TEIXEIRA","PP","PE"
"470","ROCHA","PSDB","AC"
"471","RODRIGO DE CASTRO","PSDB","MG"
"472","RODRIGO GARCIA","DEM","SP"
"473","RODRIGO MAIA","DEM","RJ"
"474","RODRIGO MARTINS","PSB","PI"
"475","RODRIGO PACHECO","PMDB","MG"
"476","ROGERIO MARINHO","PSDB","RN"
"477","ROGERIO PENINHA MENDONÇA","PMDB","SC"
"478","ROGERIO ROSSO","PSD","DF"
"479","ROMULO GOUVEIA","PSD","PB"
"480","RONALDO BENEDET","PMDB","SC"
"481","RONALDO CARLETTO","PP","BA"
"482","RONALDO FONSECA","PROS","DF"
"483","RONALDO LESSA","PDT","AL"
"484","RONALDO MARTINS","PRB","CE"
"485","RONALDO NOGUEIRA","PTB","RS"
"486","RONEY NEMER","PP","DF"
"487","ROSANGELA CURADO","PDT","MA"
"488","ROSANGELA GOMES","PRB","RJ"
"489","ROSSONI","PSDB","PR"
"490","RUBENS BUENO","PPS","PR"
"491","RUBENS OTONI","PT","GO"
"492","RUBENS PEREIRA JUNIOR","PCdoB","MA"
"493","SAGUAS MORAES","PT","MT"
"494","SAMUEL MOREIRA","PSDB","SP"
"495","SANDES JUNIOR","PP","GO"
"496","SANDRO ALEX","PSD","PR"
"497","SARAIVA FELIPE","PMDB","MG"
"498","SARNEY FILHO","PV","MA"
"499","SDD",NA,NA
"500","SEBASTIAO OLIVEIRA","PR","PE"
"501","SERGIO BRITO","PSD","BA"
"502","SERGIO MORAES","PTB","RS"
"503","SERGIO REIS","PRB","SP"
"504","SERGIO SOUZA","PMDB","PR"
"505","SERGIO VIDIGAL","PDT","ES"
"506","SERGIO ZVEITER","PMDB","RJ"
"507","SEVERINO NINHO","PSB","PE"
"508","SHERIDAN","PSDB","RR"
"509","SIBA MACHADO","PT","AC"
"510","SILAS BRASILEIRO","PMDB","MG"
"511","SILAS CAMARA","PRB","AM"
