"","NOME","PARTIDO","UF","MINISTERIO_DA_AGRICULTURA_PECUARIA_E_ABASTECIMENTO","MINISTERIO_DA_SAUDE","MINISTERIO_DAS_CIDADES","MINISTERIO_DO_DESENV_SOCIAL_E_COMBATE_A_FOME","MINISTERIO_DO_ESPORTE","MINISTERIO_DO_TURISMO"
"265","MARCELO AGUIAR","DEM","SP",0,829000,2859033.55,0,0,0
"266","MARCELO ALVARO ANTONIO","PR","MG",0,199558,0,0,877500,1e+05
"267","MARCELO ARO","PHS","MG",195000,1350000,0,0,828750,0
"268","MARCELO BELINATI","PP","PR",0,6e+05,0,351000,0,0
"269","MARCELO CASTRO","PMDB","PI",2352675,0,1441140,0,0,0
"270","MARCELO MATOS","PHS","RJ",0,0,1346061.07,0,0,0
"271","MARCELO SQUASSONI","PRB","SP",0,0,0,0,731250,975000
"272","MARCIO ALVINO","PR","SP",0,250000,0,0,390000,0
"273","MARCIO MARINHO","PRB","BA",0,3382461.05,1764710,0,253500,0
"274","MARCO ANTONIO CABRAL","PMDB","RJ",0,0,0,0,2340000,0
"275","MARCO MAIA","PT","RS",1868100,1431105.5,3059783.74,438750,487500,243750
"276","MARCO TEBALDI","PSDB","SC",1356000,1300000,3002592.55,0,487500,0
"277","MARCON","PT","RS",487500,1490237,2459900,0,1462500,731250
"278","MARCOS ABRAO","PPS","GO",585000,3e+05,338184.03,0,0,904801.95
"279","MARCOS MONTES","PSD","MG",1062750,1296957.88,2364069,0,867750,0
"280","MARCOS ROGERIO","DEM","RO",0,299999,0,0,0,0
"281","MARCOS SOARES","DEM","RJ",0,0,788400,0,0,0
"282","MARCUS PESTANA","PSDB","MG",390000,2877000,3459498.35,292500,243750,0
"283","MARCUS VICENTE","PP","ES",0,0,0,0,243750,0
"284","MARGARIDA SALOMAO","PT","MG",409500,1934927.56,245850,0,1142531.47,0
"285","MARIA DO ROSARIO","PT","RS",0,749984.62,1032850,0,0,487500
"286","MARINALDO ROSENDO","PSB","PE",0,1e+05,295300,0,0,0
"287","MARINHA RAUPP","PMDB","RO",954789.22,1214107.26,0,0,341250,0
"288","MARIO HERINGER","PDT","MG",0,0,0,0,490000,487500
"289","MARQUINHO MENDES","PMDB","RJ",0,0,0,0,0,1950000
"290","MAURICIO QUINTELLA LESSA","PR","AL",584300,4912722.2,1158514.46,0,0,0
"291","MAURO BENEVIDES","PMDB","CE",0,0,2419897.77,0,0,0
"292","MAURO LOPES","PMDB","MG",2010827.33,296030,2312950,0,536250,0
"293","MAURO MARIANI","PMDB","SC",947812.13,2e+06,3189229,0,0,243750
"294","MAURO PEREIRA","PMDB","RS",738075,302000,2336615.22,0,682500,0
"295","MAX FILHO","PSDB","ES",0,0,423870,0,0,355875
"296","MIGUEL CORREA","PT","MG",0,0,2350158.02,0,243750,0
"297","MIGUEL HADDAD","PSDB","SP",0,0,1573610.04,0,0,0
"298","MIGUEL LOMBARDI","PR","SP",0,0,0,0,497250,0
"299","MILTON MONTI","PR","SP",0,3072000,3595037,0,1024505.62,0
"300","MIRO TEIXEIRA","REDE","RJ",0,2001955,0,5e+05,0,0
"301","MISAEL VARELLA","DEM","MG",0,1e+05,0,0,0,0
"302","MISSIONARIO JOSE OLIMPIO","DEM","SP",0,3801500,5829127.77,0,243750,0
"303","MOSES RODRIGUES","PMDB","CE",0,8e+05,0,0,1462500,438750
"304","NELSON MARCHEZAN JUNIOR","PSDB","RS",2562830.4,850000,2461300,0,1462500,0
"305","NELSON MARQUEZELLI","PTB","SP",838500,1699999.9,1531024.7,0,0,975000
"306","NELSON MEURER","PP","PR",411801.97,947620.58,2216850,793750,828750,243750
"307","NELSON PELLEGRINO","PT","BA",0,1499991.82,1381800,0,0,1355780
"308","NEWTON CARDOSO JR","PMDB","MG",243750,0,887300,0,0,0
"309","NILMARIO MIRANDA","PT","MG",0,0,425946.9,0,0,0
"310","NILSON LEITAO","PSDB","MT",487500,250000,2024352,0,0,2151703.13
"311","NILSON PINTO","PSDB","PA",185515.2,0,7337671.74,0,0,0
"312","NILTO TATTO","PT","SP",0,630000,493100,0,1706250,0
"313","ODAIR CUNHA","PT","MG",0,0,3838601.88,0,0,0
"314","ONYX LORENZONI","DEM","RS",2388750,4214731,737550,250000,0,0
"315","ORLANDO SILVA","PCdoB","SP",0,0,0,0,253500,0
"316","OSMAR SERRAGLIO","PMDB","PR",97500,3210318,5733390.04,0,0,0
"317","OSMAR TERRA","PMDB","RS",1657500,2664331,1475100,585000,1621246.58,1462500
"318","OTAVIO LEITE","PSDB","RJ",0,1649323.08,0,943750,0,487500
"319","PADRE JOAO","PT","MG",926250,2369880,245850,0,828750,0
"320","PAES LANDIM","PTB","PI",0,1790272,2762200,0,0,0
"321","PASTOR EURICO","PHS","PE",0,1335000,2221050,0,0,0
"322","PAUDERNEY AVELINO","DEM","AM",231075,2200000,0,0,0,0
"323","PAULAO","PT","AL",0,1e+06,2465500,0,0,0
"324","PAULO ABI-ACKEL","PSDB","MG",0,0,4005190.6,0,0,0
"325","PAULO AZI","DEM","BA",0,0,245850,0,487500,0
"326","PAULO FEIJO","PR","RJ",780000,1049976.2,1778800,0,459450.23,0
"327","PAULO FOLETTO","PSB","ES",2673270,2799999.6,887799.45,0,0,0
"328","PAULO FREIRE","PR","SP",0,4481928,3293460,0,725400,487500
"329","PAULO MAGALHAES","PSD","BA",0,4e+05,4443150.74,0,0,0
"330","PAULO MALUF","PP","SP",0,4268072.4,1899508.01,0,243750,0
"331","PAULO PEREIRA DA SILVA","SD","SP",292500,1950980,2414650,0,731515.2,721500
"332","PAULO PIMENTA","PT","RS",751937.55,9e+05,3444700,250000,2193750,731250
